#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
51.351078,150,129.407482
1011.850657,75,129.464324
-23.823654,150,129.550988
43.310577,150,129.637478
48.767167,150,129.722399
29.072553,150,129.808323
42.293125,150,129.894824
1013.84104,78,129.982121
1011.124857,73,130.100706
61.10837,150,130.186389
42.789649,150,130.27121
53.989265,150,130.359221
1033.121216,94,130.42413
36.025041,150,130.510153
31.680572,150,130.596551
71.531131,150,131.155439
1012.416464,77,131.213441
56.381529,150,131.301746
45.407927,150,131.387766
47.333177,150,131.474209
31.527349,150,131.561507
48.081686,150,131.647256
72.354958,150,131.80714
85.256503,150,131.905246
1029.272199,97,131.973008
65.338854,150,132.06188
50.930374,150,132.14934
24.521035,150,132.234493
33.424893,150,132.319437
78.107613,150,132.405191
37.223133,150,132.958927
53.427388,150,133.045812
84.631169,150,133.133262
3.755176,150,133.217354
64.624967,150,133.307986
12.555011,150,133.393004
71.878223,150,133.477698
36.691138,150,133.670451
72.171081,150,133.772967
1018.105753,90,133.835453
1.619155,150,133.922052
42.896956,150,134.007979
51.118717,150,134.095506
73.83156,150,134.181432
1014.034293,73,134.706494
1009.433444,77,134.76487
1017.991177,73,134.822134
1014.422498,75,134.87971
46.361024,150,134.968155
1010.737409,77,135.0282
1017.172857,69,135.084339
49.366264,150,135.169407
-1.243802,150,135.255109
1016.744194,85,135.321868
50.423588,150,135.495503
